style	frame	w	h	bytes	sha256	dest	native_source
b	1	1672	941	2011561	b5802cdbb78e31551284cc1131a6ee0ead0ef36998aecb90cb71ead0d2f9a37f	assets/intro/background-motion/style-b-lowtech-pixel/motion-b-01.png	C:\Users\jesse\.codex\generated_images\01a0bdf7-6f01-7741-bf5f-0e29c52818aa\exec-63420f0f-9f49-41d4-be1a-6b95497e1e51.png
b	2	1672	941	1941214	302a028ef882e4eb1f8ac907f8c387674f217c786a448604d2ba7a3bed0d2cc0	assets/intro/background-motion/style-b-lowtech-pixel/motion-b-02.png	C:\Users\jesse\.codex\generated_images\01a0bdf7-6f01-7741-bf5f-0e29c52818aa\exec-8033e0ba-7197-4333-96b9-b40f649fe1c9.png
b	3	1672	941	1896574	d59cf030531cd1f8c329814781b89604b795f0cba511778c1d9d4ac451444ce7	assets/intro/background-motion/style-b-lowtech-pixel/motion-b-03.png	C:\Users\jesse\.codex\generated_images\01a0bdf7-6f01-7741-bf5f-0e29c52818aa\exec-39f2676a-24ab-4f7f-b3bc-a43b264007f1.png
b	4	1672	941	1887203	528c17ed0f59e91e8a52f26581ab32c8aabe88c805a3e277c4d282daf052a578	assets/intro/background-motion/style-b-lowtech-pixel/motion-b-04.png	C:\Users\jesse\.codex\generated_images\01a0bdf7-6f01-7741-bf5f-0e29c52818aa\exec-08610a15-2dd6-4f4b-a5c6-3a3ab67af1dd.png
b	5	1672	941	1928145	5cfb72804e8037390621f7cf6a3215e47e66496ee64fdcc0df594a33199ce66a	assets/intro/background-motion/style-b-lowtech-pixel/motion-b-05.png	C:\Users\jesse\.codex\generated_images\01a0bdf7-6f01-7741-bf5f-0e29c52818aa\exec-6cc8674b-7968-4945-9c4c-847daa1142b7.png
c	1	1672	941	2488133	b06aa2e6a51199302ee2ead1cbdab45474449ef8e7fa7ef50eb899b08667db6f	assets/intro/background-motion/style-c-max-tech/motion-c-01.png	C:\Users\jesse\.codex\generated_images\01a0bdf7-6df7-7dd3-96a8-1b720ac1d837\exec-feb5baa1-6e00-4813-a000-d3ccb6d2150a.png
c	2	1672	941	2407620	df7aecb1d8bdb9aea1d4222d1c0f53338277f869705e5c0e693bfcd254e0b090	assets/intro/background-motion/style-c-max-tech/motion-c-02.png	C:\Users\jesse\.codex\generated_images\01a0bdf7-6df7-7dd3-96a8-1b720ac1d837\exec-fda1e91b-2d55-4818-a455-a62f23d77945.png
c	3	1672	941	2477949	2d96872a7c48770328e15b8d7388f618282752ef108dee68191275fca5a549b0	assets/intro/background-motion/style-c-max-tech/motion-c-03.png	C:\Users\jesse\.codex\generated_images\01a0bdf7-6df7-7dd3-96a8-1b720ac1d837\exec-709f3c7c-d710-4e54-b792-6c5dcbf00754.png
c	4	1672	941	2393910	2f85215aff84fdf5cf937fa469b3e25df71c8fcc62d1bb217155f1343117876a	assets/intro/background-motion/style-c-max-tech/motion-c-04.png	C:\Users\jesse\.codex\generated_images\01a0bdf7-6df7-7dd3-96a8-1b720ac1d837\exec-db17d31a-bc9b-4a38-a53c-361157eb2dae.png
c	5	1672	941	2267482	79a6153ef359b0914f0ef28cf97947367421b15b24734a293c18b9505fa997a7	assets/intro/background-motion/style-c-max-tech/motion-c-05.png	C:\Users\jesse\.codex\generated_images\01a0bdf7-6df7-7dd3-96a8-1b720ac1d837\exec-93b44245-e81c-40f8-bc1f-df38f7e3e1dc.png
